(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;United Kingdom;Gross domestic product, constant prices;Percent change;-2,169;-0,847;2,076;4,202;2,258;3,545;3,16;5,546;5,934;2,518;0,537;-1,236;0,447;2,646;4,025;2,53;2,667;2,553;3,511;3,151;3,769;2,665;2,452;4,3;2,454;2,807;3,042;2,556;-0,332;-4,311;1,911;1,645;0,659;1,665;2,993;2,517;2,234;2,214;2,24;2,15;2,116
;;United Kingdom;Population;Persons;56,33;56,357;56,291;56,316;56,409;56,554;56,684;56,804;56,916;57,076;57,237;57,439;57,585;57,714;57,862;58,025;58,164;58,314;58,475;58,684;58,886;59,113;59,319;59,552;59,842;60,235;60,584;60,986;61,398;61,792;62,262;63,285;63,705;64,087;64,511;64,938;65,386;65,825;66,266;66,697;67,126
;;United States;Gross domestic product, constant prices;Percent change;-0,244;2,594;-1,911;4,633;7,259;4,238;3,512;3,462;4,204;3,68;1,919;-0,074;3,555;2,746;4,038;2,719;3,796;4,487;4,45;4,685;4,092;0,976;1,786;2,807;3,785;3,345;2,666;1,779;-0,292;-2,776;2,532;1,602;2,224;1,489;2,428;2,568;2,839;2,797;2,684;2,224;1,959
;;United States;Population;Persons;227,622;229,916;232,128;234,247;236,307;238,416;240,593;242,751;244,968;247,286;250,047;253,392;256,777;260,146;263,325;266,458;269,581;272,822;276,022;279,195;282,296;285,216;288,019;290,733;293,389;296,115;298,93;301,903;304,718;307,374;309,761;312,075;314,402;316,742;319,075;321,41;323,687;325,85;328,029;330,221;332,429
;;Uruguay;Gross domestic product, constant prices;Percent change;5,975;1,9;-9,34;-3,281;-1,092;1,475;8,857;7,933;1,467;1,104;0,297;3,539;7,932;2,658;7,281;-1,448;5,578;5,048;4,28;-2,965;-1,776;-3,461;-7,051;2,327;4,64;6,806;4,099;6,542;7,176;4,243;7,803;5,162;3,323;5,1;3,498;2,502;2,2;2,801;3,003;3,099;3,112
;;Uruguay;Population;Persons;2,912;2,932;2,951;2,97;2,989;3,008;3,025;3,042;3,06;3,077;3,094;3,112;3,131;3,149;3,179;3,199;3,219;3,256;3,274;3,289;3,301;3,308;3,309;3,304;3,302;3,306;3,314;3,324;3,334;3,345;3,357;3,369;3,381;3,392;3,404;3,416;3,427;3,439;3,45;3,461;3,472
;;Uzbekistan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-2,346;-5,2;-0,9;1,7;5,2;4,309;4,3;3,8;4,2;4;4,2;7,4;7;7,5;9,5;9;8,1;8,5;8,3;8,2;8;8,1;6,8;7;6,7;6,5;6,5;6,5
;;Uzbekistan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;21,36;21,853;22,282;22,69;23,13;23,867;24,231;24,583;24,908;25,211;25,523;25,802;26,021;26,313;26,664;27,072;27,533;28;28,5;29,1;29,746;30,241;30,604;30,971;31,343;31,719;32,1;32,485;32,875
;;Vanuatu;Gross domestic product, constant prices;Percent change;5,451;4,375;1,98;3,01;9,577;1,001;-0,149;-2,894;-1,695;1,533;11,697;3,147;2,584;0,736;9,079;1,005;2,328;4,907;1,176;0,337;5,925;-3,398;-5,198;4,288;3,987;5,305;8,461;5,174;6,453;3,311;1,629;1,223;1,757;1,969;2,33;-2;5;4,5;3,5;2,5;2,5
;;Vanuatu;Population;Persons;0,115;0,119;0,123;0,126;0,13;0,135;0,139;0,141;0,145;0,146;0,148;0,151;0,154;0,157;0,164;0,169;0,173;0,177;0,182;0,187;0,191;0,195;0,2;0,204;0,209;0,214;0,219;0,224;0,229;0,234;0,24;0,245;0,251;0,257;0,263;0,269;0,275;0,281;0,288;0,294;0,301
;;Venezuela;Gross domestic product, constant prices;Percent change;-4,947;-1,288;2,645;-9,856;5,223;0,867;6,08;4,801;6,51;-13,92;6,468;9,73;6,06;0,275;-2,349;3,952;-0,198;6,371;0,294;-5,97;3,687;3,394;-8,856;-7,755;18,287;10,318;9,872;8,754;5,278;-3,202;-1,489;4,176;5,626;1,343;-4;-10;-6;-4,5;-3;-1;--
;;Venezuela;Population;Persons;14,952;15,41;15,868;16,316;16,773;17,241;17,45;17,888;18,336;18,784;19,411;19,879;20,347;20,815;21,283;21,751;22,219;22,676;23,13;23,593;24,06;24,541;25,018;25,51;25,987;26,48;26,835;27,284;27,733;28,182;28,631;29,072;29,517;29,985;30,457;30,933;31,416;31,907;32,407;32,915;33,429
;;Vietnam;Gross domestic product, constant prices;Percent change;-3,497;5,797;8,15;7,093;8,397;5,619;3,357;2,549;5,1;7,8;5,047;5,809;8,7;8,078;8,834;9,54;9,34;8,152;5,765;4,774;6,787;6,895;7,08;7,341;7,789;7,547;6,978;7,129;5,662;5,398;6,423;6,24;5,247;5,421;5,984;6,5;6,4;6;6;6;6
;;Vietnam;Population;Persons;54,18;55,31;56,4;57,47;58,57;59,71;60,92;62,3;63,5;64,774;66,017;67,242;68,45;69,645;70,825;71,996;73,157;74,307;75,456;76,597;77,635;78,686;79,727;80,899;82,032;82,392;83,311;84,219;85,119;86,025;86,933;87,84;88,762;89,691;90,63;91,578;92,537;93,505;94,484;95,473;96,472
;;Yemen;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6,293;8,208;4,002;6,722;5,669;4,635;5,231;6,007;3,776;6,182;3,804;3,935;3,747;3,973;5,592;3,17;3,338;3,648;3,866;7,702;-12,715;2,393;4,824;-0,189;-28,097;11,604;8,321;6,169;4,656;4,67
;;Yemen;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12,086;12,66;13,289;13,948;14,6;15,219;15,796;16,339;16,863;17,39;17,937;18,506;19,094;19,702;20,329;20,975;21,622;22,29;22,978;23,687;24,398;25,13;25,884;26,66;27,46;28,284;29,132;29,977;30,816;31,648;32,471
;;Zambia;Gross domestic product, constant prices;Percent change;3,854;6,631;-2,912;-1,145;-1,718;1,237;1,698;1,491;9,271;-3,658;-0,579;-0,666;2,052;-0,077;-13,309;2,898;6,219;3,814;-0,386;4,65;3,897;5,317;4,506;6,945;7,032;7,236;7,904;8,352;7,774;9,22;10,298;6,366;6,761;6,693;5,63;4,28;3,95;5,79;6,83;6,86;6,82
;;Zambia;Population;Persons;5,65;5,835;6,023;6,212;6,403;6,597;6,795;6,998;7,209;7,43;7,664;7,899;8,134;8,37;8,625;8,841;9,073;9,32;9,577;9,839;10,101;10,362;10,625;10,895;11,175;11,47;11,782;12,11;12,457;12,825;13,217;13,634;14,075;14,539;15,021;15,52;16,034;16,564;17,111;17,673;18,252
;;Zimbabwe;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1,017;-4,269;-0,515;-7,857;-16,504;-6,471;-7,663;-3,581;-3,373;-16,579;7,535;11,376;11,905;10,565;4,484;3,254;1,424;2,372;2,994;3,327;3,356;3,386
;;#NOME?;Population;Persons;7,092;7,3;7,606;7,849;8,099;8,385;8,648;8,919;9,199;9,488;9,786;10,093;10,41;10,776;11,147;11,523;11,905;11,786;11,756;11,724;11,693;11,663;11,632;11,64;11,73;11,83;12,01;12,04;12,12;12,23;12,34;12,653;12,974;13,117;13,261;13,407;13,554;13,703;13,854;14,006;14,16
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;International Monetary Fund, World Economic Outlook Database, October 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
